"asiasanat","ilmestymispäivä","käytön päättyminen","nimellisarvo","merkin nimi","merkin väri","painopaikka","painosmäärä","taiteilija","valuutta","kuvan_url"
"soikiomerkki ovaali vaakuna postitorvi leijona kruunu 1856","01.03.1856","31.01.1860","0,05","Malli 1856 Soikiomerkki","sininen","Leimakonttori","138500","","rupla","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0001.jpg"
"soikiomerkki ovaali vaakuna postitorvi leijona kruunu 1856","01.03.1856","31.01.1860","0,10","Malli 1856 Soikiomerkki","punainen","Leimakonttori","442431","","rupla","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0002.jpg"
"vaakuna leijona kruunu isohampainen 1860","01.01.1860","31.12.1884","0,05","Malli 1860","sininen","Senaatin kirjapaino","698000","","rupla","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0003.jpg"
"vaakuna leijona kruunu 1860  isohampainen","01.01.1860","31.12.1884","0,10","Malli 1860","punainen","Senaatin kirjapaino","1428160","","rupla","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0004.jpg"
"vaakuna leijona kruunu 1866 isohampainen","01.01.1866","31.12.1884","0,05","Malli 1866","ruskea / hailakanlila paperi","Senaatin kirjapaino","739000","","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0005.jpg"
"vaakuna leijona kruunu 1866 isohampainen","01.12.1866","31.12.1884","0,08","Malli 1866","musta / vihreä paperi","Senaatin kirjapaino","925000","","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0006.jpg"
"vaakuna leijona kruunu 1866 isohampainen","01.01.1866","31.12.1884","0,10","Malli 1866","musta / keltainen paperi","Senaatin kirjapaino","778500","","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0007.jpg"
"vaakuna leijona kruunu 1866 isohampainen","01.01.1866","31.12.1884","0,20","Malli 1866","sininen","Senaatin kirjapaino","4569800","","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0008.jpg"
"vaakuna leijona kruunu 1866 isohampainen","01.01.1866","31.12.1884","0,40","Malli 1866","punainen","Senaatin kirjapaino","3232500","","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0009.jpg"
"vaakuna leijona kruunu 1866 isohampainen","01.05.1867","31.12.1884","1","Malli 1866","kellanruskea","Senaatin kirjapaino","86420","","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0010.jpg"
"vaakuna leijona kruunu 1875 jokanurkkainen nelilukuinen","01.07.1875","31.12.1884","0,32","Malli 1875","karmiininpunainen","H. H. Thielen kirjapaino, Kööpenhamina","57500","Wilhelm Brandstake","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0013.jpg"
"vaakuna leijona kruunu 1875 jokanurkkainen nelilukuinen","06.09.1875","13.01.1901","0,02","Malli 1875","harmaa","Senaatin kirjapaino","412600","Wilhelm Brandstake","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0014.jpg"
"vaakuna leijona kruunu 1875 jokanurkkainen nelilukuinen","04.09.1875","31.12.1884","0,05","Malli 1875","oranssi","Senaatin kirjapaino","2423500","Wilhelm Brandstake","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0015.jpg"
"vaakuna leijona kruunu 1875 jokanurkkainen nelilukuinen","04.09.1875","31.12.1884","0,08","Malli 1875","vihreä","Senaatin kirjapaino","450000","Wilhelm Brandstake","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0016.jpg"
"vaakuna leijona kruunu 1875 jokanurkkainen nelilukuinen","06.09.1875","31.12.1884","0,20","Malli 1875","sininen","Senaatin kirjapaino","9226843","Wilhelm Brandstake","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0017.jpg"
"vaakuna leijona kruunu 1875 jokanurkkainen nelilukuinen","01.07.1875","31.12.1884","0,32","Malli 1875","karmiininpunainen","Senaatin kirjapaino","1892007","Wilhelm Brandstake","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0018.jpg"
"vaakuna leijona kruunu 1875 jokanurkkainen nelilukuinen","15.01.1877","31.12.1884","1","Malli 1875","lila","Senaatin kirjapaino","82500","Wilhelm Brandstake","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0019.jpg"
"vaakuna leijona kruunu 1875 jokanurkkainen nelilukuinen","03.08.1881","31.12.1884","0,10","Malli 1875","ruskea","Senaatin kirjapaino","445600","Wilhelm Brandstake","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0020.jpg"
"vaakuna leijona kruunu 1875 jokanurkkainen nelilukuinen","13.05.1879","31.12.1884","0,25","Malli 1875","punainen","Senaatin kirjapaino","2094500","Wilhelm Brandstake","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0021.jpg"
"vaakuna leijona kruunu 1875 jokanurkkainen nelilukuinen","01.03.1883","13.01.1901","0,02","Malli 1875","harmaa","Leimakonttorin kirjapaino","372900","Wilhelm Brandstake","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0022.jpg"
"vaakuna leijona kruunu 1875 jokanurkkainen nelilukuinen","01.01.1882","31.12.1884","0,05","Malli 1875","oranssi","Leimakonttorin kirjapaino","2250000","Wilhelm Brandstake","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0023.jpg"
"vaakuna leijona kruunu 1875 jokanurkkainen nelilukuinen","01.12.1882","31.12.1884","0,10","Malli 1875","ruskea","Leimakonttorin kirjapaino","667200","Wilhelm Brandstake","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0024.jpg"
"vaakuna leijona kruunu 1875 jokanurkkainen nelilukuinen","01.01.1882","31.12.1884","0,20","Malli 1875","sininen","Leimakonttorin kirjapaino","6220700","Wilhelm Brandstake","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0025.jpg"
"vaakuna leijona kruunu 1875 jokanurkkainen nelilukuinen","01.02.1882","31.12.1884","0,25","Malli 1875","punainen","Leimakonttorin kirjapaino","2852300","Wilhelm Brandstake","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0026.jpg"
"vaakuna leijona kruunu 1875 jokanurkkainen nelilukuinen","01.01.1882","31.12.1884","1","Malli 1875","lila","Leimakonttorin kirjapaino","268250","Wilhelm Brandstake","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0027.jpg"
"vaakuna leijona kruunu 1885 jokanurkkainen nelilukuinen","01.01.1885","","0,05","Malli 1885","vihreä","Leimapaperikonttori","6775000","Wilhelm Brandstake","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0028.jpg"
"vaakuna leijona kruunu 1885 jokanurkkainen nelilukuinen","01.05.1885","","0,10","Malli 1885","punainen","Leimapaperikonttori","3161000","Wilhelm Brandstake","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0029.jpg"
"vaakuna leijona kruunu 1885 jokanurkkainen nelilukuinen","01.01.1885","","0,20","Malli 1885","oranssi","Leimapaperikonttori","14403000","Wilhelm Brandstake","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0030.jpg"
"vaakuna leijona kruunu 1885 jokanurkkainen nelilukuinen","01.01.1885","","0,25","Malli 1885","sininen","Leimapaperikonttori","6311000","Wilhelm Brandstake","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0031.jpg"
"vaakuna leijona kruunu 1885 jokanurkkainen nelilukuinen","01.01.1885","","1","Malli 1885","harmaa / punainen","Leimapaperikonttori","360000","Wilhelm Brandstake","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0032.jpg"
"Vaakuna leijona kruunu 1885 jokanurkkainen nelilukuinen","13.11.1885","","5","Malli 1885","vihreä / punainen","Leimapaperikonttori","10000","Wilhelm Brandstake","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0033.jpg"
"vaakuna leijona kruunu 1885 jokanurkkainen nelilukuinen","13.11.1885","","10","Malli 1885","ruskea / punainen","Leimapaperikonttori","7500","Wilhelm Brandstake","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0034.jpg"
"vaakuna leijona kruunu 1889 ylänurkkainen kolmilukuinen","09.01.1890","","0,02","Malli 1889","harmaa","Leimapaperikonttori","2348169","Wilhelm Brandstake","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0035.jpg"
"vaakuna leijona kruunu1889 ylänurkkainen kolmilukuinen","03.01.1890","","0,05","Malli 1889","vihreä","Leimapaperikonttori","13641300","Wilhelm Brandstake","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0036.jpg"
"vaakuna leijona kruunu 1889 ylänurkkainen kolmilukuinen","03.01.1890","","0,10","Malli 1889","punainen","Leimapaperikonttori","7460800","Wilhelm Brandstake","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0037.jpg"
"vaakuna leijona kruunu1889 ylänurkkainen kolmilukuinen","07.12.1889","","0,20","Malli 1889","keltainen","Leimapaperikonttori","23372700","Wilhelm Brandstake","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0038.jpg"
"vaakuna leijona kruunu1889 ylänurkkainen kolmilukuinen","16.10.1889","","0,25","Malli 1889","sininen","Leimapaperikonttori","9194000","Wilhelm Brandstake","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0039.jpg"
"vaakuna leijona kruunu1889 ylänurkkainen kolmilukuinen","31.05.1890","","1","Malli 1889","harmaa / punainen","Leimapaperikonttori","1242988","Wilhelm Brandstake","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0040.jpg"
"vaakuna leijona kruunu1889 ylänurkkainen kolmilukuinen","05.06.1890","","5","Malli 1889","vihreä / punainen","Leimapaperikonttori","34598","Wilhelm Brandstake","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0041.jpg"
"vaakuna leijona kruunu1889 ylänurkkainen kolmilukuinen","05.06.1890","","10","Malli 1889","ruskea / punainen","Leimapaperikonttori","32767","Wilhelm Brandstake","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0042.jpg"
"vaakuna kaksoiskotka kotka venäläinen rengasmerkki 1891","01.05.1891","14.05.1911","0,01","Venäläinen malli 1891 Rengasmerkki","oranssi","Venäjän valtion arvopaperipaino","1663900","","rupla","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0043.jpg"
"vaakuna kaksoiskotka kotka venäläinen rengasmerkki 1891","01.05.1891","14.05.1911","0,02","Venäläinen malli 1891 Rengasmerkki","vihreä","Venäjän valtion arvopaperipaino","1085470","","rupla","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0044.jpg"
"vaakuna kaksoiskotka kotka venäläinen rengasmerkki 1891","01.05.1891","14.05.1911","0,03","Venäläinen malli 1891 Rengasmerkki","karmiininpunainen","Venäjän valtion arvopaperipaino","662100","","rupla","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0045.jpg"
"vaakuna kaksoiskotka kotka venäläinen rengasmerkki 1891","01.05.1891","14.05.1911","0,04","Venäläinen malli 1891 Rengasmerkki","karmiininpunainen","Venäjän valtion arvopaperipaino","481900","","rupla","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0046.jpg"
"vaakuna kaksoiskotka kotka venäläinen rengasmerkki 1891","01.05.1891","14.05.1911","0,07","Venäläinen malli 1891 Rengasmerkki","sininen","Venäjän valtion arvopaperipaino","7646275","","rupla","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0047.jpg"
"vaakuna kaksoiskotka kotka venäläinen rengasmerkki 1891","01.05.1891","14.05.1911","0,10","Venäläinen malli 1891 Rengasmerkki","sininen","Venäjän valtion arvopaperipaino","981100","","rupla","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0048.jpg"
"vaakuna kaksoiskotka kotka venäläinen rengasmerkki 1891","01.05.1891","14.05.1911","0,14","Venäläinen malli 1891 Rengasmerkki","sininen / punainen","Venäjän valtion arvopaperipaino","558300","","rupla","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0049.jpg"
"vaakuna kaksoiskotka kotka venäläinen rengasmerkki 1891","01.05.1891","14.05.1911","0,20","Venäläinen malli 1891 Rengasmerkki","sininen / punainen","Venäjän valtion arvopaperipaino","486700","","rupla","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0050.jpg"
"vaakuna kaksoiskotka kotka venäläinen rengasmerkki 1891","01.05.1891","14.05.1911","0,35","Venäläinen malli 1891 Rengasmerkki","violetti / vihreä","Venäjän valtion arvopaperipaino","259700","","rupla","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0051.jpg"
"vaakuna kaksoiskotka kotka venäläinen rengasmerkki 1891","01.05.1891","14.05.1911","0,50","Venäläinen malli 1891 Rengasmerkki","lila / vihreä","Venäjän valtion arvopaperipaino","174400","","rupla","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0052.jpg"
"vaakuna kaksoiskotka kotka venäläinen rengasmerkki 1891","01.05.1891","14.05.1911","1","Venäläinen malli 1891 Rengasmerkki","ruskea / oranssi","Venäjän valtion arvopaperipaino","70950","","rupla","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0053.jpg"
"vaakuna kaksoiskotka kotka venäläinen rengasmerkki 1891","01.05.1891","14.05.1911","3,50","Venäläinen malli 1891 Rengasmerkki","musta / harmaa","Venäjän valtion arvopaperipaino","10000","","rupla","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0054.jpg"
"vaakuna kaksoiskotka kotka venäläinen rengasmerkki 1891","01.05.1891","14.05.1911","7","Venäläinen malli 1891 Rengasmerkki","musta / keltainen","Venäjän valtion arvopaperipaino","13450","","rupla","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0055.jpg"
"vaakuna kaksoiskotka kotkamerkki 1901 venäläinen","14.01.1901","14.05.1911","0,05","Venäläinen malli 1901","vihreä","Suomen leimakonttorin kirjapaino","200000","","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0060.jpg"
"vaakuna kaksoiskotka kotkamerkki 1901 venäläinen","14.01.1901","14.05.1911","0,02","Venäläinen malli 1901","keltainen","Oy F. Tilgmann","1001500","","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0061.jpg"
"vaakuna kaksoiskotka kotkamerkki 1901 venäläinen","14.01.1901","14.05.1911","0,05","Venäläinen malli 1901","vihreä","Oy F. Tilgmann","4850000","","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0062.jpg"
"vaakuna kaksoiskotka kotkamerkki 1901 venäläinen","14.01.1901","14.05.1911","0,10","Venäläinen malli 1901","karmiininpunainen","Oy F. Tilgmann","3827800","","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0063.jpg"
"vaakuna kaksoiskotka kotkamerkki 1901 venäläinen","14.01.1901","14.05.1911","0,20","Venäläinen malli 1901","sininen","Oy F. Tilgmann","7823200","","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0064.jpg"
"vaakuna kaksoiskotka kotkamerkki 1901 venäläinen","14.01.1901","01.06.1920","1","Venäläinen malli 1901","lila / vihreä","Oy F. Tilgmann","359000","","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0065.jpg"
"vaakuna kaksoiskotka kotkamerkki 1901 venäläinen","14.01.1901","01.06.1920","10","Venäläinen malli 1901","musta / harmaa","Oy F. Tilgmann","13350","","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0066.jpg"
"vaakuna kaksoiskotka kotkamerkki 1911 venäläinen","11.01.1911","01.06.1920","0,02","Venäläinen malli 1911","keltainen","Suomen leimakonttorin kirjapaino","6054600","","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0075.jpg"
"vaakuna kaksoiskotka kotkamerkki 1911 venäläinen","27.03.1911","01.06.1920","0,05","Venäläinen malli 1911","vihreä","Suomen leimakonttorin kirjapaino","122744900","","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0076.jpg"
